Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","22/07/2023 17:55 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H9ihDu
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Other people in need of international protection","Stateless persons","Host Community","Others of concern"
2018,Egypt,EGY,-,-,24850,16760,0,-,0,-,47
2018,Argentina,ARG,-,-,112,489,0,-,0,-,0
2018,Armenia,ARM,-,-,11040,13697,0,-,0,-,5
2018,Australia,AUS,-,-,10,17,0,-,0,-,0
2018,Austria,AUT,-,-,24,10,0,-,0,-,0
2018,Azerbaijan,AZE,-,-,11246,9318,620423,-,0,-,0
2018,Bahrain,BHR,-,-,540,136,0,-,0,-,0
2018,Barbados,BRB,-,-,211,81,0,-,0,-,0
2018,Burundi,BDI,-,-,387850,53360,31909,-,0,-,14148
2018,Belgium,BEL,-,-,50,79,0,-,0,-,0
2018,Benin,BEN,-,-,659,1078,0,-,0,-,6
2018,Bangladesh,BGD,-,-,21022,58843,0,-,0,-,8
2018,Bahamas,BHS,-,-,421,391,0,-,0,-,0
2018,Bhutan,BTN,-,-,7100,390,0,-,0,-,0
2018,"Burkina Faso",BFA,-,-,11447,4949,47030,-,0,-,0
2018,Belarus,BLR,-,-,3526,3282,0,-,0,-,0
2018,"Bolivia (Plurinational State of)",BOL,-,-,502,1004,0,-,0,-,0
2018,Botswana,BWA,-,-,289,89,0,-,0,-,0
2018,Brazil,BRA,-,-,1038,8570,0,-,0,-,0
2018,"Bosnia and Herzegovina",BIH,-,-,16956,1619,96830,-,0,-,48907
2018,Bulgaria,BGR,-,-,620,367,0,-,0,-,0
2018,Belize,BLZ,-,-,68,219,0,-,0,-,0
2018,Cambodia,KHM,-,-,12139,749,0,-,0,-,0
2018,Canada,CAN,-,-,81,79,0,-,0,-,0
2018,"Central African Rep.",CAF,-,-,590858,17278,640970,-,0,-,21697
2018,"Cayman Islands",CYM,-,-,6,0,0,-,0,-,0
2018,Chad,TCD,-,-,10895,4401,165314,-,0,-,16724
2018,China,CHN,-,-,212039,94351,0,-,0,-,0
2018,Chile,CHL,-,-,479,514,0,-,0,-,0
2018,Cameroon,CMR,-,-,45118,18638,668494,-,0,-,11
2018,Congo,COG,-,-,13354,11762,138000,-,0,-,92
2018,"Dem. Rep. of the Congo",COD,-,-,720302,133422,4516866,-,0,-,10862
2018,Comoros,COM,-,-,624,500,0,-,0,-,0
2018,Colombia,COL,-,-,138583,45674,7816473,-,0,-,0
2018,"Costa Rica",CRI,-,-,207,548,0,-,0,-,0
2018,Cuba,CUB,-,-,5488,26597,0,-,0,-,0
2018,"Curacao ",CUW,-,-,35,0,0,-,0,-,0
2018,"Cabo Verde",CPV,-,-,10,206,0,-,0,-,0
2018,Cyprus,CYP,-,-,7,20,0,-,0,-,0
2018,Czechia,CZE,-,-,1236,224,0,-,0,-,0
2018,Denmark,DNK,-,-,0,35,0,-,0,-,0
2018,Djibouti,DJI,-,-,2124,1100,0,-,0,-,0
2018,Dominica,DMA,-,-,36,56,0,-,0,-,0
2018,"Dominican Rep.",DOM,-,-,472,3406,0,-,0,-,0
2018,Ecuador,ECU,-,-,1424,17727,0,-,0,-,0
2018,"Equatorial Guinea",GNQ,-,-,140,176,0,-,0,-,0
2018,Eritrea,ERI,-,-,507260,78584,0,-,0,-,86
2018,Estonia,EST,-,-,281,37,0,-,0,-,0
2018,Ethiopia,ETH,-,-,92232,133254,2615800,-,0,-,4228
2018,"French Guiana",GUF,-,-,0,23,0,-,0,-,0
2018,Fiji,FJI,-,-,675,1297,0,-,0,-,0
2018,Finland,FIN,-,-,5,5,0,-,0,-,0
2018,France,FRA,-,-,59,219,0,-,0,-,0
2018,Gabon,GAB,-,-,342,739,0,-,0,-,0
2018,Gambia,GMB,-,-,17237,14016,0,-,0,-,0
2018,Palestinian,PSE,-,-,100728,13461,0,-,0,-,1459
2018,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,84,184,0,-,0,-,0
2018,Georgia,GEO,-,-,6983,21006,282382,-,0,-,0
2018,Germany,DEU,-,-,61,176,0,-,0,-,0
2018,Ghana,GHA,-,-,18071,12542,0,-,0,-,0
2018,Guadeloupe,GLP,-,-,0,11,0,-,0,-,0
2018,Guinea-Bissau,GNB,-,-,2043,2850,0,-,0,-,0
2018,Greece,GRC,-,-,107,128,0,-,0,-,0
2018,Grenada,GRD,-,-,96,59,0,-,0,-,0
2018,Guatemala,GTM,-,-,19128,86875,0,-,0,-,24
2018,Guinea,GIN,-,-,23493,33045,0,-,0,-,0
2018,Guyana,GUY,-,-,283,551,0,-,0,-,0
2018,Haiti,HTI,-,-,27517,40973,0,-,0,-,0
2018,"China, Hong Kong SAR",HKG,-,-,11,22,0,-,0,-,0
2018,Honduras,HND,-,-,18857,76526,174001,-,0,-,46419
2018,Croatia,HRV,-,-,24105,79,0,-,0,-,4376
2018,Hungary,HUN,-,-,3927,804,0,-,0,-,0
2018,Iceland,ISL,-,-,5,5,0,-,0,-,0
2018,"Cote d'Ivoire",CIV,-,-,38316,22855,0,-,0,-,16
2018,India,IND,-,-,9586,51802,0,-,0,-,214
2018,Indonesia,IDN,-,-,12148,3395,0,-,0,-,0
2018,Ireland,IRL,-,-,0,59,0,-,0,-,0
2018,"Iran (Islamic Rep. of)",IRN,-,-,129941,87367,0,-,0,-,87
2018,Iraq,IRQ,-,-,372332,256716,1802832,-,0,-,7901
2018,Israel,ISR,-,-,492,683,0,-,0,-,0
2018,Italy,ITA,-,-,69,381,0,-,0,-,0
2018,Jamaica,JAM,-,-,2448,1495,0,-,0,-,0
2018,Jordan,JOR,-,-,2430,4119,0,-,0,-,1431
2018,Japan,JPN,-,-,42,114,0,-,0,-,0
2018,Kazakhstan,KAZ,-,-,2520,5833,0,-,0,-,0
2018,Kenya,KEN,-,-,7480,7287,0,-,0,-,0
2018,Kyrgyzstan,KGZ,-,-,2934,2721,0,-,0,-,0
2018,"Rep. of Korea",KOR,-,-,274,536,0,-,0,-,0
2018,"Dem. People's Rep. of Korea",PRK,-,-,797,146,0,-,0,-,0
2018,Kuwait,KWT,-,-,1251,1220,0,-,0,-,0
2018,"Lao People's Dem. Rep.",LAO,-,-,6943,294,0,-,0,-,0
2018,Liberia,LBR,-,-,5508,2986,0,-,0,-,88
2018,Libya,LBY,-,-,13868,6786,170491,-,0,-,8
2018,"Saint Lucia",LCA,-,-,1025,65,0,-,0,-,0
2018,Lebanon,LBN,-,-,5620,8058,0,-,0,-,14
2018,Lesotho,LSO,-,-,6,38,0,-,0,-,0
2018,"Sri Lanka",LKA,-,-,113955,14517,35473,-,0,-,0
2018,Lithuania,LTU,-,-,66,89,0,-,0,-,0
2018,Luxembourg,LUX,-,-,0,5,0,-,0,-,0
2018,Latvia,LVA,-,-,152,103,0,-,0,-,0
2018,"China, Macao SAR",MAC,-,-,0,25,0,-,0,-,0
2018,Madagascar,MDG,-,-,298,111,0,-,0,-,0
2018,Mauritania,MRT,-,-,37050,8121,0,-,0,-,0
2018,"North Macedonia",MKD,-,-,1721,3228,0,-,0,-,0
2018,Monaco,MCO,-,-,5,0,0,-,0,-,0
2018,"Rep. of Moldova",MDA,-,-,2397,4537,0,-,0,-,0
2018,Maldives,MDV,-,-,74,35,0,-,0,-,0
2018,Mexico,MEX,-,-,12870,89794,0,-,0,-,0
2018,"Marshall Islands",MHL,-,-,7,0,0,-,0,-,0
2018,Mali,MLI,-,-,158267,10891,120298,-,0,-,0
2018,Malaysia,MYS,-,-,817,15037,0,-,0,-,0
2018,Malawi,MWI,-,-,472,2800,0,-,0,-,0
2018,Montenegro,MNE,-,-,715,633,0,-,0,-,0
2018,Mongolia,MNG,-,-,2249,4389,0,-,0,-,5
2018,Morocco,MAR,-,-,3873,8163,0,-,0,-,20
2018,Mozambique,MOZ,-,-,57,8977,0,-,0,-,0
2018,Malta,MLT,-,-,5,10,0,-,0,-,0
2018,Mauritius,MUS,-,-,156,294,0,-,0,-,0
2018,Myanmar,MMR,-,-,1145149,30459,370306,-,0,-,98
2018,Namibia,NAM,-,-,1331,332,0,-,0,-,0
2018,Nepal,NPL,-,-,8590,9074,0,-,0,-,328
2018,"Netherlands (Kingdom of the)",NLD,-,-,41,91,0,-,0,-,0
2018,Niger,NER,-,-,2715,2053,156137,-,0,-,25731
2018,Nicaragua,NIC,-,-,1671,32265,0,-,0,-,0
2018,Nigeria,NGA,-,-,276834,84624,2167925,-,0,-,1424
2018,Niue,NIU,-,-,19,5,0,-,0,-,0
2018,Norway,NOR,-,-,5,11,0,-,0,-,0
2018,"New Zealand",NZL,-,-,34,14,0,-,0,-,0
2018,Oman,OMN,-,-,42,28,0,-,0,-,0
2018,Pakistan,PAK,-,-,132248,75337,96384,-,0,-,0
2018,Panama,PAN,-,-,44,141,0,-,0,-,0
2018,Paraguay,PRY,-,-,73,278,0,-,0,-,0
2018,Peru,PER,-,-,2579,4895,0,-,0,-,0
2018,Philippines,PHL,-,-,522,3804,77651,-,0,-,80038
2018,"Papua New Guinea",PNG,-,-,424,445,0,-,0,-,0
2018,Poland,POL,-,-,1085,912,0,-,0,-,0
2018,Portugal,PRT,-,-,20,245,0,-,0,-,0
2018,Qatar,QAT,-,-,30,33,0,-,0,-,0
2018,Romania,ROU,-,-,1155,4253,0,-,0,-,0
2018,"South Africa",ZAF,-,-,482,2399,0,-,0,-,5
2018,"Russian Federation",RUS,-,-,61457,43268,0,-,0,-,0
2018,Rwanda,RWA,-,-,247469,13772,0,-,0,-,14998
2018,"El Salvador",SLV,-,-,32562,119271,71501,-,0,-,27285
2018,"Saudi Arabia",SAU,-,-,1492,1436,0,-,0,-,10
2018,Senegal,SEN,-,-,18208,17409,0,-,0,-,0
2018,Seychelles,SYC,-,-,15,0,0,-,0,-,0
2018,Singapore,SGP,-,-,46,70,0,-,0,-,0
2018,"Sierra Leone",SLE,-,-,4846,7422,0,-,0,-,0
2018,"Solomon Islands",SLB,-,-,33,145,0,-,0,-,0
2018,Somalia,SOM,-,-,949637,55852,2648001,-,0,-,130
2018,Spain,ESP,-,-,46,238,0,-,0,-,0
2018,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,32368,9702,215794,-,0,-,0
2018,"Viet Nam",VNM,-,-,334464,5571,0,-,0,-,68
2018,"South Sudan",SSD,-,-,2285301,12701,1878154,-,0,-,10000
2018,Stateless,XXA,-,-,55765,7090,0,-,3851981,-,16
2018,"Saint Kitts and Nevis",KNA,-,-,58,11,0,-,0,-,0
2018,"Sao Tome and Principe",STP,-,-,31,25,0,-,0,-,0
2018,Sudan,SDN,-,-,724787,67433,1864195,-,0,-,0
2018,Suriname,SUR,-,-,22,57,0,-,0,-,0
2018,Slovakia,SVK,-,-,1218,390,0,-,0,-,0
2018,Slovenia,SVN,-,-,19,10,0,-,0,-,0
2018,Eswatini,SWZ,-,-,237,48,0,-,0,-,0
2018,Sweden,SWE,-,-,16,29,0,-,0,-,0
2018,Switzerland,CHE,-,-,5,13,0,-,0,-,0
2018,"Syrian Arab Rep.",SYR,-,-,6654374,139576,6183920,-,0,-,8453
2018,"United Rep. of Tanzania",TZA,-,-,723,1659,0,-,0,-,10
2018,"Turks and Caicos Islands",TCA,-,-,14,0,0,-,0,-,0
2018,Thailand,THA,-,-,183,2792,0,-,0,-,0
2018,Tibetan,TIB,-,-,13527,0,0,-,0,-,0
2018,Tajikistan,TJK,-,-,1695,3192,0,-,0,-,0
2018,Turkmenistan,TKM,-,-,457,1264,0,-,0,-,0
2018,Timor-Leste,TLS,-,-,12,10,0,-,0,-,0
2018,Togo,TGO,-,-,8029,3546,0,-,0,-,0
2018,Tonga,TON,-,-,32,170,0,-,0,-,0
2018,"Trinidad and Tobago",TTO,-,-,323,305,0,-,0,-,15
2018,Tunisia,TUN,-,-,1985,2749,0,-,0,-,0
2018,Türkiye,TUR,-,-,68900,42915,0,-,0,-,10
2018,"United Arab Emirates",ARE,-,-,169,272,0,-,0,-,0
2018,Uganda,UGA,-,-,7034,10956,0,-,0,-,180000
2018,"Unknown ",UNK,-,-,216540,65554,0,-,0,-,147254
2018,Ukraine,UKR,-,-,93248,31965,1500002,-,0,-,0
2018,Uruguay,URY,-,-,7,203,0,-,0,-,0
2018,"United States of America",USA,-,-,332,2834,0,-,0,-,0
2018,Uzbekistan,UZB,-,-,3276,4606,0,-,0,-,0
2018,Vanuatu,VUT,-,-,0,52,0,-,0,-,0
2018,"Saint Vincent and the Grenadines",VCT,-,-,1258,56,0,-,0,-,0
2018,"Venezuela (Bolivarian Republic of)",VEN,-,-,21047,464223,0,2592947,0,-,0
2018,Samoa,WSM,-,-,0,42,0,-,0,-,0
2018,"Western Sahara",ESH,-,-,116790,1803,0,-,0,-,0
2018,Yemen,YEM,-,-,31145,35876,2144719,-,0,-,0
2018,Zambia,ZMB,-,-,266,254,0,-,0,-,0
2018,Zimbabwe,ZWE,-,-,15618,17121,0,-,0,-,110
2019,Afghanistan,AFG,-,-,2727556,251047,2553390,-,0,-,450675
2019,Albania,ALB,-,-,15027,19007,0,-,0,-,0
2019,Algeria,DZA,-,-,4514,7703,0,-,0,-,107
2019,Angola,AGO,-,-,8176,10772,0,-,0,-,18243
2019,"Antigua and Barbuda",ATG,-,-,117,65,0,-,0,-,0
2019,Egypt,EGY,-,-,27416,16627,0,-,0,-,349
2019,Argentina,ARG,-,-,99,932,0,-,0,-,5
2019,Armenia,ARM,-,-,10962,11097,0,-,0,-,5
2019,Australia,AUS,-,-,20,50,0,-,0,-,0
2019,Austria,AUT,-,-,18,10,0,-,0,-,0
2019,Azerbaijan,AZE,-,-,11626,8232,652326,-,0,-,0
2019,Bahrain,BHR,-,-,557,156,0,-,0,-,0
2019,Barbados,BRB,-,-,243,116,0,-,0,-,0
2019,Burundi,BDI,-,-,380900,53166,33256,-,0,-,17605
2019,Belgium,BEL,-,-,34,105,0,-,0,-,0
2019,Benin,BEN,-,-,721,1214,0,-,0,-,6
2019,Bangladesh,BGD,-,-,22766,62860,0,-,0,-,502
2019,Bahamas,BHS,-,-,501,528,0,-,0,-,0
2019,Bhutan,BTN,-,-,6839,413,0,-,0,-,0
2019,"Burkina Faso",BFA,-,-,11733,4996,560033,-,0,-,2190
2019,Belarus,BLR,-,-,3425,4012,0,-,0,-,0
2019,"Bolivia (Plurinational State of)",BOL,-,-,514,1238,0,-,0,-,0
2019,Botswana,BWA,-,-,228,139,0,-,0,-,0
2019,Brazil,BRA,-,-,1399,12034,0,-,0,-,0
2019,"Brunei Darussalam",BRN,-,-,0,10,0,-,0,-,0
2019,"Bosnia and Herzegovina",BIH,-,-,16556,1487,96421,-,0,-,48907
2019,Bulgaria,BGR,-,-,566,344,0,-,0,-,5
2019,Belize,BLZ,-,-,73,278,0,-,0,-,0
2019,Cambodia,KHM,-,-,11986,846,0,-,0,-,0
2019,Canada,CAN,-,-,71,88,0,-,0,-,0
2019,"Central African Rep.",CAF,-,-,610152,15935,669906,-,0,-,1570
2019,"Cayman Islands",CYM,-,-,6,0,0,-,0,-,0
2019,Chad,TCD,-,-,11163,5335,170278,-,0,-,122367
2019,China,CHN,-,-,212863,104248,0,-,0,-,0
2019,Chile,CHL,-,-,486,1251,0,-,0,-,0
2019,Cameroon,CMR,-,-,66241,21865,950263,-,0,-,10
2019,Congo,COG,-,-,12743,11227,134430,-,0,-,37
2019,"Dem. Rep. of the Congo",COD,-,-,802974,145502,5014253,-,0,-,13128
2019,Comoros,COM,-,-,658,1459,0,-,0,-,0
2019,Colombia,COL,-,-,189254,75548,7976412,-,0,-,400000
2019,"Costa Rica",CRI,-,-,206,739,0,-,0,-,0
2019,Cuba,CUB,-,-,6625,55944,0,-,0,-,0
2019,"Curacao ",CUW,-,-,35,0,0,-,0,-,0
2019,"Cabo Verde",CPV,-,-,10,250,0,-,0,-,0
2019,Cyprus,CYP,-,-,0,35,0,-,0,-,0
2019,Czechia,CZE,-,-,1166,181,0,-,0,-,0
2019,Denmark,DNK,-,-,5,37,0,-,0,-,0
2019,Djibouti,DJI,-,-,2351,834,0,-,0,-,0
2019,Dominica,DMA,-,-,50,82,0,-,0,-,0
2019,"Dominican Rep.",DOM,-,-,546,4038,0,-,0,-,0
2019,Ecuador,ECU,-,-,1644,19340,0,-,0,-,0
2019,"Equatorial Guinea",GNQ,-,-,156,166,0,-,0,-,0
2019,Eritrea,ERI,-,-,504300,72164,0,-,0,-,134
2019,Estonia,EST,-,-,274,55,0,-,0,-,0
2019,Ethiopia,ETH,-,-,93467,135267,1733628,-,0,-,3881
2019,"French Guiana",GUF,-,-,0,24,0,-,0,-,0
2019,Fiji,FJI,-,-,591,2343,0,-,0,-,0
2019,Finland,FIN,-,-,0,10,0,-,0,-,0
2019,France,FRA,-,-,50,268,0,-,0,-,0
2019,Gabon,GAB,-,-,440,893,0,-,0,-,0
2019,Gambia,GMB,-,-,17813,9161,0,-,0,-,0
2019,Palestinian,PSE,-,-,96253,11537,0,-,0,-,1104
2019,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,69,227,0,-,0,-,0
2019,Georgia,GEO,-,-,7519,19734,286216,-,0,-,0
2019,Germany,DEU,-,-,69,201,0,-,0,-,0
2019,Ghana,GHA,-,-,18432,10551,0,-,0,-,0
2019,Guinea-Bissau,GNB,-,-,2093,2665,0,-,0,-,0
2019,Greece,GRC,-,-,95,133,0,-,0,-,0
2019,Grenada,GRD,-,-,80,89,0,-,0,-,0
2019,Guatemala,GTM,-,-,22770,119521,0,-,0,-,47836
2019,Guinea,GIN,-,-,26857,30409,0,-,0,-,0
2019,Guyana,GUY,-,-,284,676,0,-,0,-,0
2019,Haiti,HTI,-,-,26734,65684,0,-,0,-,0
2019,"China, Hong Kong SAR",HKG,-,-,5,222,0,-,0,-,0
2019,Honduras,HND,-,-,26351,122480,247090,-,0,-,72837
2019,Croatia,HRV,-,-,23793,65,0,-,0,-,3754
2019,Hungary,HUN,-,-,4007,671,0,-,0,-,5
2019,Iceland,ISL,-,-,5,5,0,-,0,-,0
2019,"Cote d'Ivoire",CIV,-,-,39351,19881,0,-,0,-,32
2019,India,IND,-,-,11787,65965,0,-,0,-,294
2019,Indonesia,IDN,-,-,12039,4323,0,-,0,-,0
2019,Ireland,IRL,-,-,0,90,0,-,0,-,0
2019,"Iran (Islamic Rep. of)",IRN,-,-,128998,86093,0,-,0,-,405
2019,Iraq,IRQ,-,-,336274,302731,1414632,-,0,-,31760
2019,Israel,ISR,-,-,452,690,0,-,0,-,0
2019,Italy,ITA,-,-,76,431,0,-,0,-,0
2019,Jamaica,JAM,-,-,2529,1798,0,-,0,-,0
2019,Jordan,JOR,-,-,2308,4722,0,-,0,-,1954
2019,Japan,JPN,-,-,39,111,0,-,0,-,0
2019,Kazakhstan,KAZ,-,-,2757,6982,0,-,0,-,0
2019,Kenya,KEN,-,-,7705,7879,0,-,0,-,5
2019,Kyrgyzstan,KGZ,-,-,2963,2593,0,-,0,-,0
2019,"Rep. of Korea",KOR,-,-,180,643,0,-,0,-,0
2019,"Dem. People's Rep. of Korea",PRK,-,-,758,112,0,-,0,-,0
2019,Kuwait,KWT,-,-,1300,1402,0,-,0,-,10
2019,"Lao People's Dem. Rep.",LAO,-,-,6757,390,0,-,0,-,0
2019,Liberia,LBR,-,-,5365,2953,0,-,0,-,33
2019,Libya,LBY,-,-,16033,5986,355672,-,0,-,42
2019,"Saint Lucia",LCA,-,-,843,74,0,-,0,-,0
2019,Lebanon,LBN,-,-,5647,8032,0,-,0,-,5030
2019,Lesotho,LSO,-,-,6,49,0,-,0,-,0
2019,Liechtenstein,LIE,-,-,0,14,0,-,0,-,0
2019,"Sri Lanka",LKA,-,-,110341,16062,25110,-,0,-,10
2019,Lithuania,LTU,-,-,61,76,0,-,0,-,0
2019,Luxembourg,LUX,-,-,5,0,0,-,0,-,0
2019,Latvia,LVA,-,-,144,98,0,-,0,-,0
2019,"China, Macao SAR",MAC,-,-,0,33,0,-,0,-,0
2019,Madagascar,MDG,-,-,298,264,0,-,0,-,0
2019,Mauritania,MRT,-,-,37423,8580,0,-,0,-,0
2019,"North Macedonia",MKD,-,-,1784,2526,0,-,0,-,0
2019,Monaco,MCO,-,-,5,0,0,-,0,-,0
2019,"Rep. of Moldova",MDA,-,-,2427,5653,0,-,0,-,0
2019,Maldives,MDV,-,-,75,11,0,-,0,-,0
2019,Mexico,MEX,-,-,14621,101654,0,-,0,-,0
2019,"Marshall Islands",MHL,-,-,7,0,0,-,0,-,0
2019,Mali,MLI,-,-,164466,8582,207751,-,0,-,5
2019,Malaysia,MYS,-,-,906,21259,0,-,0,-,0
2019,Malawi,MWI,-,-,514,2570,0,-,0,-,0
2019,Montenegro,MNE,-,-,659,606,0,-,0,-,0
2019,Mongolia,MNG,-,-,2364,4057,0,-,0,-,10
2019,Morocco,MAR,-,-,4642,8322,0,-,0,-,260
2019,Mozambique,MOZ,-,-,77,8734,180516,-,0,-,0
2019,Malta,MLT,-,-,5,15,0,-,0,-,0
2019,Mauritius,MUS,-,-,178,304,0,-,0,-,0
2019,Myanmar,MMR,-,-,1076826,37457,312018,-,0,-,119
2019,Namibia,NAM,-,-,459,756,0,-,0,-,0
2019,Nepal,NPL,-,-,8034,9940,0,-,0,-,345
2019,"Netherlands (Kingdom of the)",NLD,-,-,55,102,0,-,0,-,0
2019,Niger,NER,-,-,3063,2420,191902,-,0,-,29882
2019,Nicaragua,NIC,-,-,4376,66869,0,-,0,-,224
2019,Nigeria,NGA,-,-,295578,112382,2195779,-,0,-,7
2019,Niue,NIU,-,-,19,6,0,-,0,-,0
2019,Norway,NOR,-,-,5,11,0,-,0,-,0
2019,Nauru,NRU,-,-,0,15,0,-,0,-,0
2019,"New Zealand",NZL,-,-,34,27,0,-,0,-,0
2019,Oman,OMN,-,-,42,59,0,-,0,-,974
2019,Pakistan,PAK,-,-,136902,66245,100680,-,0,-,2871
2019,Panama,PAN,-,-,45,240,0,-,0,-,0
2019,Paraguay,PRY,-,-,84,632,0,-,0,-,0
2019,Peru,PER,-,-,2765,8669,0,-,0,-,0
2019,Philippines,PHL,-,-,554,4732,178897,-,0,-,55029
2019,"Papua New Guinea",PNG,-,-,475,549,0,-,0,-,0
2019,Poland,POL,-,-,961,1016,0,-,0,-,0
2019,Portugal,PRT,-,-,25,338,0,-,0,-,0
2019,Qatar,QAT,-,-,36,36,0,-,0,-,0
2019,Romania,ROU,-,-,1352,3910,0,-,0,-,0
2019,"South Africa",ZAF,-,-,441,2839,0,-,0,-,6
2019,"Russian Federation",RUS,-,-,62353,48282,0,-,0,-,0
2019,Rwanda,RWA,-,-,246407,15726,0,-,0,-,15566
2019,"El Salvador",SLV,-,-,41816,136277,71500,-,0,-,33192
2019,"Saudi Arabia",SAU,-,-,1721,1410,0,-,0,-,26
2019,Senegal,SEN,-,-,17208,15331,0,-,0,-,0
2019,Seychelles,SYC,-,-,15,6,0,-,0,-,0
2019,Singapore,SGP,-,-,39,88,0,-,0,-,0
2019,"Sierra Leone",SLE,-,-,5288,7272,0,-,0,-,0
2019,"Solomon Islands",SLB,-,-,34,227,0,-,0,-,0
2019,Somalia,SOM,-,-,901596,53083,2648000,-,0,-,160
2019,Spain,ESP,-,-,51,276,0,-,0,-,0
2019,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,31251,7463,214696,-,0,-,0
2019,"Viet Nam",VNM,-,-,316441,8095,0,-,0,-,68
2019,"South Sudan",SSD,-,-,2234805,5616,1665815,-,0,-,10000
2019,Stateless,XXA,-,-,68784,7258,0,-,4217776,-,0
2019,"Saint Kitts and Nevis",KNA,-,-,57,17,0,-,0,-,0
2019,"Sao Tome and Principe",STP,-,-,28,29,0,-,0,-,0
2019,Sudan,SDN,-,-,734780,72017,1885782,-,0,-,7
2019,Suriname,SUR,-,-,17,72,0,-,0,-,0
2019,Slovakia,SVK,-,-,1343,231,0,-,0,-,0
2019,Slovenia,SVN,-,-,19,15,0,-,0,-,0
2019,Eswatini,SWZ,-,-,224,97,0,-,0,-,0
2019,Sweden,SWE,-,-,13,35,0,-,0,-,0
2019,Switzerland,CHE,-,-,5,20,0,-,0,-,0
2019,"Syrian Arab Rep.",SYR,-,-,6615249,118450,6146994,-,0,-,7612
2019,"United Rep. of Tanzania",TZA,-,-,695,1963,0,-,0,-,45
2019,"Turks and Caicos Islands",TCA,-,-,14,0,0,-,0,-,0
2019,Thailand,THA,-,-,173,3531,0,-,0,-,0
2019,Tibetan,TIB,-,-,12555,0,0,-,0,-,0
2019,Tajikistan,TJK,-,-,1987,2661,0,-,0,-,0
2019,Turkmenistan,TKM,-,-,478,576,0,-,0,-,0
2019,Timor-Leste,TLS,-,-,17,41,0,-,0,-,0
2019,Togo,TGO,-,-,8034,3380,0,-,0,-,0
2019,Tonga,TON,-,-,32,419,0,-,0,-,0
2019,"Trinidad and Tobago",TTO,-,-,307,408,0,-,0,-,200
2019,Tunisia,TUN,-,-,2068,2668,0,-,0,-,14
2019,Türkiye,TUR,-,-,83239,46941,0,-,0,-,57
2019,"United Arab Emirates",ARE,-,-,155,181,0,-,0,-,0
2019,Uganda,UGA,-,-,7301,11433,0,-,0,2304506,7
2019,"Unknown ",UNK,-,-,183117,122408,0,-,0,-,259641
2019,Ukraine,UKR,-,-,59844,27991,734000,-,0,-,1680257
2019,Uruguay,URY,-,-,15,311,0,-,0,-,0
2019,"United States of America",USA,-,-,297,2940,0,-,0,-,12
2019,Uzbekistan,UZB,-,-,3217,5002,0,-,0,-,0
2019,Vanuatu,VUT,-,-,0,75,0,-,0,-,0
2019,"Holy See",VAT,-,-,0,5,0,-,0,-,0
2019,"Saint Vincent and the Grenadines",VCT,-,-,979,77,0,-,0,-,0
2019,"Venezuela (Bolivarian Republic of)",VEN,-,-,93239,794491,0,3582202,0,-,494503
2019,Samoa,WSM,-,-,0,84,0,-,0,-,0
2019,"Western Sahara",ESH,-,-,116908,955,0,-,0,-,5
2019,Yemen,YEM,-,-,36522,34328,3625716,-,0,-,49
2019,Zambia,ZMB,-,-,259,459,0,-,0,-,5
2019,Zimbabwe,ZWE,-,-,10045,16177,270000,-,0,-,121
2020,Afghanistan,AFG,-,-,2594827,238791,2886317,-,0,-,87499
2020,Anguilla,AIA,-,-,0,5,0,-,0,-,0
2020,Albania,ALB,-,-,15523,17628,0,-,0,-,0
2020,Algeria,DZA,-,-,4571,7779,0,-,0,-,96
2020,Andorra,AND,-,-,0,5,0,-,0,-,0
2020,Angola,AGO,-,-,8196,12402,0,-,0,-,19041
2020,"Antigua and Barbuda",ATG,-,-,108,51,0,-,0,-,0
2020,Egypt,EGY,-,-,26553,16313,0,-,0,-,88
2020,Argentina,ARG,-,-,99,1189,0,-,0,-,5
2020,Armenia,ARM,-,-,10334,8850,0,-,0,-,0
2020,Australia,AUS,-,-,20,12,0,-,0,-,0
2020,Austria,AUT,-,-,18,0,0,-,0,-,0
2020,Azerbaijan,AZE,-,-,101468,6425,653921,-,0,-,0
2020,Bahrain,BHR,-,-,534,118,0,-,0,-,0
2020,Barbados,BRB,-,-,230,120,0,-,0,-,0
2020,Burundi,BDI,-,-,372951,50227,21863,-,0,-,17448
2020,Belgium,BEL,-,-,28,62,0,-,0,-,0
2020,Benin,BEN,-,-,606,1350,0,-,0,-,12
